"","code_station","libelle_station","code_departement","libelle_departement","code_commune","libelle_commune","code_region","libelle_region","code_bassin","libelle_bassin","code_cours_eau","libelle_cours_eau","code_campagne","code_reseau","libelle_reseau","code_ecoulement","libelle_ecoulement","longitude","latitude","date_campagne","nombre_modalite_ecoulement","code_type_campagne","libelle_type_campagne","uri_reseau","etat_station","Annee"
"1","V5214021","Le Lez à Grillon","84","Vaucluse","26146","GRIGNAN","93","Provence-Alpes-Côte D'Azur","06","Rhône-Méditerranée","V52-0400","Le lez","103500","0000000134","Onde OFB","1f","Ecoulement visible faible",4.936103521,44.412679279,2025-09-10,5,2,"complémentaire","http://id.eaufrance.fr/dc/0000000134","Active",2025
"2","V5214021","Le Lez à Grillon","84","Vaucluse","26146","GRIGNAN","93","Provence-Alpes-Côte D'Azur","06","Rhône-Méditerranée","V52-0400","Le lez","102955","0000000134","Onde OFB","3","Assec",4.936103521,44.412679279,2025-08-25,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2025
"3","V5214021","Le Lez à Grillon","84","Vaucluse","26146","GRIGNAN","93","Provence-Alpes-Côte D'Azur","06","Rhône-Méditerranée","V52-0400","Le lez","102451","0000000134","Onde OFB","3","Assec",4.936103521,44.412679279,2025-08-08,5,2,"complémentaire","http://id.eaufrance.fr/dc/0000000134","Active",2025
"4","V5214021","Le Lez à Grillon","84","Vaucluse","26146","GRIGNAN","93","Provence-Alpes-Côte D'Azur","06","Rhône-Méditerranée","V52-0400","Le lez","102010","0000000134","Onde OFB","3","Assec",4.936103521,44.412679279,2025-07-25,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2025
"5","V5214021","Le Lez à Grillon","84","Vaucluse","26146","GRIGNAN","93","Provence-Alpes-Côte D'Azur","06","Rhône-Méditerranée","V52-0400","Le lez","101604","0000000134","Onde OFB","2","Ecoulement non visible",4.936103521,44.412679279,2025-07-10,4,2,"complémentaire","http://id.eaufrance.fr/dc/0000000134","Active",2025
"6","V5214021","Le Lez à Grillon","84","Vaucluse","26146","GRIGNAN","93","Provence-Alpes-Côte D'Azur","06","Rhône-Méditerranée","V52-0400","Le lez","100768","0000000134","Onde OFB","1f","Ecoulement visible faible",4.936103521,44.412679279,2025-06-25,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2025
"7","V5214021","Le Lez à Grillon","84","Vaucluse","26146","GRIGNAN","93","Provence-Alpes-Côte D'Azur","06","Rhône-Méditerranée","V52-0400","Le lez","99963","0000000134","Onde OFB","1a","Ecoulement visible acceptable",4.936103521,44.412679279,2025-05-25,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2025
"8","V5214021","Le Lez à Grillon","84","Vaucluse","26146","GRIGNAN","93","Provence-Alpes-Côte D'Azur","06","Rhône-Méditerranée","V52-0400","Le lez","98819","0000000134","Onde OFB","3","Assec",4.936103521,44.412679279,2024-09-25,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2024
"9","V5214021","Le Lez à Grillon","84","Vaucluse","26146","GRIGNAN","93","Provence-Alpes-Côte D'Azur","06","Rhône-Méditerranée","V52-0400","Le lez","98653","0000000134","Onde OFB","3","Assec",4.936103521,44.412679279,2024-08-23,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2024
"10","V5214021","Le Lez à Grillon","84","Vaucluse","26146","GRIGNAN","93","Provence-Alpes-Côte D'Azur","06","Rhône-Méditerranée","V52-0400","Le lez","98634","0000000134","Onde OFB","1a","Ecoulement visible acceptable",4.936103521,44.412679279,2024-08-13,5,2,"complémentaire","http://id.eaufrance.fr/dc/0000000134","Active",2024
